,1,2,3,4,5,6,7,8,9
rigid,2,0,2,1,0,0,0,0,1
looping,1,0,1,0,0,0,0,0,0
unempathetic,3,3,2,2,0,0,0,1,3
diagnosic,0,0,0,0,0,0,0,0,0
elliptical,2,0,1,0,0,0,0,0,0
gargoyle,0,0,0,0,0,0,0,0,0
compost,0,0,0,0,0,0,0,0,0
greatful,0,0,0,0,0,0,0,0,0
yankees,0,0,0,0,0,0,0,0,0
bloodstream,0,0,0,0,0,0,0,0,0
dye,0,0,0,0,0,0,0,0,0
tasmania,0,0,0,0,0,0,0,0,0
beastly,1,3,0,1,0,0,0,0,0
forlorn,2,0,1,2,1,0,0,2,1
elicit,0,0,0,0,0,0,0,0,0
paneldustbristle,0,0,0,0,0,0,0,0,0
retire,0,0,0,0,0,0,0,0,0
devilish,0,1,0,0,0,0,0,0,0
overlord,0,0,0,0,0,0,0,0,0
liberal,0,0,0,0,0,0,0,0,0
walkers,0,2,0,0,0,0,0,0,0
timeline,0,1,0,0,1,0,0,0,0
plentiful,0,1,0,1,0,0,0,0,0
juul,0,0,0,0,0,0,0,0,0
abudance,0,1,0,2,0,0,0,0,0
parascope,1,0,0,0,0,0,1,0,0
layup,0,0,0,0,0,0,0,0,0
caro,0,0,0,0,0,0,0,0,0
growing,2,2,0,2,0,0,2,0,0
heartbuilt,0,0,0,0,0,0,0,0,0
australia,0,0,0,0,0,0,0,0,0
wheelbarrow,0,0,0,0,0,0,0,0,0
cooker,0,2,0,0,0,0,0,0,0
prude,0,0,0,0,0,0,0,0,0
farrier,0,0,0,0,0,0,0,0,0
daughter-in-law,0,1,0,0,0,0,0,0,0
convince,2,3,1,2,0,0,0,0,0
choose,2,3,0,1,0,0,1,0,0
coolest,0,0,0,0,0,0,0,0,0
xeon,0,0,0,0,0,0,0,0,0
giraffe,0,0,0,0,0,0,0,0,0
of starts,0,0,0,0,0,0,0,0,0
adhd,0,0,0,1,0,0,0,0,0
magazine,0,0,0,0,0,4,0,0,0
scold,2,0,1,1,0,0,0,0,0
broad,0,0,0,1,0,0,0,0,0
skittle,0,0,0,0,0,0,0,0,0
lesbian,0,0,0,0,0,0,0,0,0
doable,0,0,0,0,0,0,0,0,0
capitals,0,0,0,0,0,0,0,0,0
namjoon,0,0,0,0,0,0,0,0,0
division,0,2,0,1,0,0,0,1,0
carious,0,0,0,0,0,0,0,0,0
panicking,2,0,1,0,0,0,3,2,1
dad,0,3,2,2,2,2,0,0,1
students,0,2,0,0,0,0,0,0,0
da,0,1,0,1,0,0,0,0,0
blank,1,0,0,1,0,0,1,0,0
slay,1,3,1,2,0,2,0,3,1
methane,0,0,0,0,0,0,0,0,0
umbra,0,1,0,1,0,0,1,0,0
nave,0,0,0,0,0,0,0,3,0
pitch,0,2,0,1,0,0,0,1,0
jimmy jew jank,0,0,0,0,0,0,0,0,0
grouphome,0,0,0,0,0,0,0,0,0
carnation,0,0,0,0,0,0,0,2,0
frills,0,0,0,0,0,0,0,0,0
northernly,0,0,0,0,0,0,0,0,0
pressed,0,0,0,0,0,0,0,0,0
sunbaked,0,0,0,1,0,0,1,1,0
subway,0,0,0,0,0,0,0,0,0
mole,0,0,0,0,0,0,0,0,0
vixen,0,0,0,0,0,0,1,0,1
trophie,0,0,0,0,0,0,0,0,0
charms,0,0,0,0,0,0,0,0,0
unnoticed,3,0,1,2,0,1,0,1,2
downstains,0,0,0,0,0,0,0,0,0
lassy,0,1,0,1,0,0,0,0,0
fears,3,0,0,2,0,0,3,2,0
sinister,2,3,0,3,0,0,2,2,0
amigo,2,4,0,0,0,0,0,0,0
middling,0,0,0,0,0,0,0,0,0
influenza,0,0,0,0,0,0,0,0,0
acid,0,0,0,0,0,0,0,0,0
compilation,0,0,0,0,0,0,0,0,0
prism,0,0,0,0,0,0,0,0,0
probiotic,0,0,0,0,0,0,0,0,0
harsh,2,2,2,1,0,0,0,0,1
soccerball,0,0,0,0,0,0,0,0,0
belay,0,2,0,0,0,0,0,0,0
sketchers,0,1,0,0,0,0,0,0,0
underling,0,0,0,0,0,0,0,0,0
explain,2,1,1,0,0,0,0,1,0
tik-tok,0,0,0,0,0,0,0,0,0
panle,0,0,0,0,0,0,0,0,0
methol,0,0,0,0,0,0,0,0,0
decibel,0,0,0,0,0,0,0,0,0
status,1,2,0,0,0,0,0,1,0
gilded,0,0,0,0,0,0,0,0,0
blender,0,0,0,0,0,0,0,0,0
vegan,0,0,0,0,0,0,0,0,0
boulders,0,0,0,0,0,0,0,0,0
dispose,0,3,0,0,1,0,0,0,0
minature,0,0,0,0,0,0,0,0,0
adrift,0,4,0,2,0,0,1,0,1
outbreak,0,0,0,0,0,0,0,0,0
bri,0,0,0,0,0,0,0,0,0
alone,3,0,2,0,2,1,1,0,0
killings,2,4,1,3,2,2,0,3,0
donaldtrump,0,0,0,0,0,0,0,0,0
accend,0,0,0,0,0,0,0,0,0
terrestrial,0,0,0,0,0,0,0,0,0
cosmetic,0,0,0,0,0,2,0,1,0
chico,0,0,0,0,0,0,0,0,0
endtables,0,0,0,0,0,0,0,0,0
testimony,0,3,2,0,0,0,0,0,0
jumpman,0,0,0,0,0,0,0,0,0
lure,0,2,0,2,0,0,1,0,0
churce,0,0,0,0,0,0,0,4,0
melatoma,0,0,0,0,0,0,0,0,0
microbes,0,0,0,0,0,0,0,0,0
housework,2,0,1,3,1,1,0,0,0
icons,0,0,0,0,0,0,0,0,0
amounts,0,0,0,0,2,0,0,0,0
invitro,0,0,0,0,0,0,0,0,0
ineedtoeat,2,2,2,1,2,2,0,0,1
insider,3,3,1,2,1,0,0,1,2
mag,0,0,0,0,0,4,0,0,0
striper,0,3,0,2,0,0,0,0,0
hinges,0,0,0,0,0,1,0,1,0
tempo,2,2,2,2,0,0,2,0,1
chomp,3,1,0,0,0,0,0,0,0
zenith,0,0,0,0,0,0,1,0,0
racine,0,0,0,0,0,0,0,0,0
drift,0,4,0,2,0,0,1,0,3
strategize,0,3,1,0,0,0,0,0,0
milisecond,0,0,0,0,0,0,0,0,0
corn,0,0,0,0,0,0,2,0,0
solutions,0,2,0,0,1,0,0,1,0
riise,0,0,0,0,0,0,0,0,0
crumpet,0,0,0,0,0,0,0,0,0
impulsive,2,2,1,1,0,0,0,0,0
petitions,0,0,0,0,0,0,0,0,0
strudel,0,0,0,0,0,0,0,0,0
catheter,0,0,0,0,1,0,0,0,0
slurpee,0,0,0,1,0,0,0,0,0
business,4,2,0,2,1,0,0,2,0
gloves,0,0,0,0,1,0,0,0,0
appearance,2,3,1,1,0,2,0,2,0
heed,3,0,0,2,0,0,3,0,0
line,0,3,0,0,1,0,0,1,0
fod,0,0,0,0,0,0,0,0,0
last of us,0,0,0,0,0,0,0,0,0
scooba,0,0,0,0,0,0,0,0,0
settlers,0,0,0,0,0,0,2,0,0
gull,0,0,0,1,0,0,0,0,0
lard,0,1,0,0,0,0,0,0,0
monthly,0,0,0,0,0,0,0,0,0
reflective,0,1,0,2,0,0,0,0,2
flipped,3,1,0,1,0,0,0,0,0
rolly-polly,0,0,0,0,0,0,0,0,0
reverence,0,0,0,0,0,0,0,3,0
tassel,0,0,0,0,0,0,0,0,0
paystub,0,1,1,0,0,0,0,0,0
assign,0,1,0,0,0,0,0,0,0
rockies,0,2,0,0,0,0,2,0,0
taters,0,4,0,0,0,0,0,0,0
foyer,0,0,0,0,0,0,0,2,0
shortage,0,0,0,0,0,0,0,0,0
simp,0,0,0,0,0,0,0,0,0
apparent,1,2,1,1,1,1,0,1,0
trod,0,2,0,1,0,0,0,1,0
pushed,3,0,0,1,0,0,0,0,0
skp,0,0,0,0,0,0,0,0,0
audible,2,0,2,1,0,0,1,2,2
pamphlet,0,0,0,0,0,0,0,0,0
southdakota,0,0,0,0,0,0,0,0,0
websites,0,0,0,0,0,0,0,0,0
90s,0,0,0,0,0,0,0,0,0
carpeting,0,0,0,0,0,0,0,0,0
ringing,3,0,3,0,0,0,0,0,0
sixteenth,0,0,0,0,0,0,0,0,0
biopsy,0,0,0,0,2,0,0,0,0
spanking,0,0,0,0,0,0,0,0,0
stewart,4,3,4,3,3,2,0,0,4
bra,0,0,0,1,0,0,3,0,3
bloopers,0,0,0,0,0,0,0,0,0
else,2,2,0,1,0,0,0,0,0
slash,0,0,0,2,0,0,0,1,0
gambling,0,4,0,2,0,0,0,0,0
sprout,0,0,0,0,0,0,0,0,0
madny,0,0,0,0,0,0,0,0,0
inorganic,0,0,0,0,0,0,0,0,0
economy,0,0,0,0,0,0,0,0,0
plank,0,0,0,0,0,0,0,0,0
shipping,0,0,0,0,0,0,0,0,0
holymoly,0,0,0,0,0,0,0,0,0
byu,0,0,0,0,0,0,0,0,0
eleven,0,0,0,0,0,0,0,0,0
planetarium,0,0,0,0,0,0,0,0,0
driverless,0,0,0,0,0,0,0,0,0
canceled,0,0,0,0,0,0,0,0,0
erect,0,0,0,0,0,0,0,0,0
meridian,0,0,0,0,0,0,0,0,0
boogey,0,0,0,0,0,0,0,0,0
fa,0,0,0,0,0,0,0,1,0
sleeping,0,3,4,0,2,3,0,0,0
canteen,0,1,0,0,0,0,0,0,0
rationale,3,4,2,1,0,0,0,1,0
colette,0,0,0,0,0,0,0,0,0
coffee,0,4,0,3,2,2,0,0,0
tiredness,0,3,0,0,0,0,0,0,0
pillbox,0,0,0,0,0,0,0,0,0
questio,0,0,0,0,0,0,0,0,0
each,0,0,0,0,0,0,0,0,0
mob,0,0,0,0,0,0,0,2,0
apocalyptic,0,0,0,0,0,0,0,0,0
placate,1,0,1,2,0,0,0,0,1
downbad,0,0,0,0,0,0,0,0,0
peggy,0,0,0,0,0,0,0,0,0
clout,0,0,0,0,0,0,0,0,0
epilogue,0,0,0,0,0,0,0,0,0
elapsed,0,0,0,0,0,0,0,0,0
snaps,0,0,0,0,0,0,0,0,0
bwar,0,0,0,0,0,0,0,0,0
sumpcios,0,0,0,0,0,0,0,0,0
motive,3,4,2,2,1,0,0,2,0
corks,0,0,0,0,0,0,0,0,0
location,1,3,0,2,0,0,2,0,0
sea cucumber,0,0,0,0,0,0,0,0,0
cuba,0,0,0,0,0,0,0,0,0
distress,3,1,2,3,1,2,3,3,2
galway,0,0,0,0,0,0,0,0,0
hawks,0,0,0,0,0,0,0,0,0
gordan,0,4,0,0,0,0,0,0,0
tet,0,0,0,0,0,0,0,0,0
farmers,0,1,0,0,0,0,4,0,0
painted,0,0,0,0,0,0,0,0,0
spanich,0,0,0,0,0,0,0,0,0
tetth,0,0,0,0,0,0,0,0,0
timetravel,0,0,0,0,0,0,0,0,0
amount,0,0,0,0,0,0,0,0,0
diningromm,4,0,1,0,2,1,0,0,3
educates,0,0,0,0,0,0,0,0,0
asure,0,0,0,0,0,0,0,0,0
chairs,2,2,0,3,1,3,0,4,1
darker,1,2,0,1,0,0,1,0,0
decent,0,4,0,0,0,0,0,0,0
shipwreck,0,0,0,0,0,0,0,0,0
unimaginative,0,0,0,0,0,0,0,0,0
litigate,0,2,0,0,0,0,0,2,0
amble,0,1,0,0,0,0,0,0,0
silence,3,1,2,3,2,1,2,0,1
dichotomy,3,3,2,2,1,0,1,1,2
aria,0,0,0,0,0,0,0,1,0
tension,4,3,3,3,2,1,4,2,2
shrimps,0,0,0,0,0,0,0,0,0
decorations,0,0,0,0,0,0,0,3,0
emptiness,2,0,0,3,2,0,0,0,1
ricotta,0,0,0,0,0,0,0,0,0
wirklich,0,0,0,0,0,0,0,0,0
squarepants,0,0,0,0,0,0,0,0,0
dragon,0,0,0,0,0,0,0,0,0
mundan,1,2,1,2,0,0,0,0,0
shepard,0,0,0,0,0,0,0,0,0
polyhedron,0,0,0,0,0,0,0,0,0
garbage,1,2,0,1,0,0,0,0,0
grope,1,0,2,1,0,0,1,0,3
ubiquitous,0,0,0,0,0,0,0,0,0
sat,2,1,1,2,1,2,1,1,2
aphrodite,0,0,1,0,1,0,0,0,1
hedge,0,0,0,0,0,0,0,0,0
uptown,0,0,0,0,0,0,0,0,0
savings,0,0,0,0,0,0,0,0,0
aggresive,3,2,3,2,0,0,2,0,2
cauliflower,0,0,0,0,0,0,0,0,0
snowlow,0,0,0,0,0,0,0,0,0
kelly,0,0,0,0,0,0,0,0,0
frighten,1,2,1,2,0,0,4,0,2
photoshop,0,0,0,0,0,0,0,0,0
amplifier,0,0,0,0,0,0,0,0,0
ridden,1,1,0,0,0,0,0,0,0
propellant,0,0,0,0,0,0,0,0,0
bathtub,1,0,0,2,0,0,0,0,1
lawncare,1,0,0,1,0,0,0,0,0
earthworm,0,0,0,0,0,0,0,0,0
dark,2,3,0,2,0,0,0,0,1
silk,0,0,0,0,0,0,0,0,0
wasah,0,0,0,0,0,0,0,0,0
hurtsto,0,0,0,0,0,0,0,0,0
hers,1,1,1,1,1,1,0,1,0
olympiad,0,0,0,0,0,0,0,0,0
unit,0,0,0,0,0,0,0,0,0
freshsmell,1,1,0,1,0,1,0,1,0
almost,0,0,0,0,0,0,0,0,0
monk,0,0,0,0,0,0,0,0,0
isolated,2,0,2,2,2,0,2,0,0
workgin,0,0,0,0,0,0,0,0,0
enchilada,1,1,1,1,1,1,0,0,1
whitw,0,0,0,0,0,0,0,0,0
supply,0,3,0,1,0,0,0,0,0
potatoescheese,0,3,0,0,0,0,0,0,0
vagrant,0,0,0,0,0,0,0,0,0
village,0,0,0,0,0,0,2,2,0
imperfect,2,2,0,2,0,0,0,0,0
shots,0,2,0,2,0,0,0,0,2
craps,0,2,0,0,0,0,0,0,0
ounce,0,0,0,0,2,0,0,0,0
dismal,2,0,2,0,2,0,0,2,2
modest,0,2,0,0,0,1,0,0,0
tang,0,1,0,1,0,0,0,0,0
gust,0,0,0,0,0,0,0,0,0
nosedive,0,0,0,0,0,0,0,0,0
cpap,0,0,0,0,0,0,0,0,0
laborer,0,2,0,0,0,0,1,0,0
pinktax,0,0,0,0,0,0,0,0,0
wheel,0,1,0,1,0,0,1,0,0
panthers,0,0,0,0,0,0,0,0,0
polenta,0,0,0,0,0,0,0,0,0
paert,0,0,0,0,0,0,0,0,0
submersible,0,3,0,2,0,0,1,0,2
crackers,0,0,0,0,0,0,0,0,0
deforestation,0,0,0,0,0,0,0,0,0
posr,0,0,0,0,0,0,0,0,0
lock,0,0,0,0,0,0,3,0,0
nonstopchildren,0,1,0,0,1,1,0,0,0
socialconstructs,2,2,0,2,0,0,0,0,0
chat,1,1,1,0,0,1,0,0,0
plaid,0,0,0,0,0,0,0,0,0
ringo,0,0,0,0,0,0,0,0,0
chaste,0,0,1,0,0,0,0,0,1
attachment,2,2,0,0,2,2,0,0,0
thruster,0,0,0,0,0,0,0,0,0
darnel,0,0,0,0,0,0,0,0,0
chapped,0,0,0,0,0,0,0,0,0
gibbering,0,0,0,0,0,0,0,0,0
teder,0,0,0,0,0,0,0,0,0
frontiers,0,0,0,0,0,0,0,0,0
ichigo,0,0,0,0,0,0,0,0,0
boardwalk,0,0,0,0,0,0,0,0,0
fires,0,3,0,0,0,0,0,0,0
serum,0,0,0,0,0,0,0,0,0
cream,0,0,0,0,0,0,0,0,0
sewn,0,0,0,0,4,0,0,0,0
hopscotch,0,0,0,0,0,0,0,0,0
zemurray,0,0,0,0,0,0,0,0,0
photographs,0,0,0,0,0,0,0,0,0
pedla,0,0,0,0,0,0,0,0,0
camembert,0,0,0,0,0,0,0,0,0
err,0,0,0,0,0,0,0,0,0
shelley,0,0,0,0,0,0,0,0,0
bumping,0,0,0,0,0,0,0,0,0
queen court,0,0,0,0,0,0,0,0,0
revoke,0,0,0,0,0,0,0,0,0
unrie,0,0,0,0,0,0,0,0,0
nitwit,0,0,0,0,0,0,0,0,0
marco,0,0,0,0,0,0,0,0,0
witch,0,0,0,0,0,0,0,0,0
category,0,0,0,0,0,0,0,0,0
sundays,0,0,0,0,0,0,0,0,0
lightbuld,0,0,0,0,0,0,0,0,0
llamas,0,0,0,0,0,0,0,0,0
author,0,0,0,0,0,0,0,0,0
saw house,0,0,0,0,0,0,0,0,0
worldbest,0,0,0,0,0,0,0,0,0
grinders,0,0,0,0,0,0,0,0,0
optimistic,0,0,0,0,0,0,0,0,0
grave,3,3,1,2,2,3,1,4,1
unsettling,3,3,3,3,2,2,3,2,3
note,0,0,0,0,4,3,0,0,0
bluewhale,0,0,0,0,0,0,0,0,0
restfullness,1,0,2,0,2,2,0,0,1
accuse,3,1,1,3,0,0,0,3,2
no,2,1,2,1,1,0,0,0,1
reasons,2,3,1,1,1,0,0,0,0
jettison,2,0,0,0,0,0,0,0,0
activiety,2,3,1,2,1,2,2,2,1
wire,1,3,1,0,0,0,0,0,0
oiy,0,0,0,0,0,0,0,0,0
terriform,0,0,0,0,0,0,0,0,0
lanyard,0,2,0,0,0,0,0,0,0
bankaccount,0,0,0,0,0,0,0,0,0
effectiveness,2,2,0,0,0,0,0,0,0
usually,0,3,0,0,0,0,0,0,0
prevention,2,2,0,1,0,0,1,0,0
agriculture,0,0,0,0,0,0,3,0,0
king,0,0,0,0,0,0,0,0,0
driftwood,2,2,0,2,0,0,1,0,1
catcher,0,0,0,0,0,0,0,0,0
joust,0,0,0,0,0,0,0,0,0
buster,0,0,0,0,0,0,0,0,0
cheesy,0,0,0,0,0,0,0,0,0
paddleball,0,0,0,0,0,0,0,0,0
critical,2,2,1,2,0,0,0,0,0
ts,0,0,0,0,0,0,0,0,0
stressful,3,2,2,3,1,1,3,2,3
cornea,2,0,0,2,0,0,2,1,1
slices,0,0,0,3,3,0,0,0,0
cosin,0,0,0,0,0,0,0,0,0
greetmeettreed,0,0,0,0,0,0,0,0,0
sitting,3,1,2,2,0,2,1,3,2
millennia,0,0,0,0,0,0,0,0,0
decay,1,2,0,1,3,0,0,0,1
uneven,0,0,0,0,0,0,0,0,0
require,0,1,0,0,0,0,0,0,0
ant man,0,0,0,0,0,0,0,0,0
cholorphyll,0,0,0,2,0,0,2,0,0
merrygoround,0,0,0,0,0,0,0,0,0
playlist,0,0,0,0,0,0,0,0,0
demanding,2,0,0,0,0,0,0,0,0
bord,1,2,0,0,0,0,0,0,0
extras,0,0,0,0,0,0,0,0,0
haze,0,0,0,0,0,0,0,0,0
poles,0,0,0,0,0,0,0,0,0
problematic,2,3,1,2,1,1,1,2,2
hardline,3,1,2,2,1,0,0,0,0
exoskeleton,0,0,0,0,0,0,0,0,0
twisted,1,2,0,2,0,0,0,1,0
perish,3,4,1,3,3,3,0,4,0
furture,0,0,0,0,0,0,0,0,0
partying,0,3,0,1,0,0,0,0,0
floppy,0,0,0,0,0,0,0,0,0
efofrt,0,0,0,0,0,0,0,0,0
exploit,0,3,0,0,0,0,0,0,0
achieving,0,0,0,0,0,0,0,0,0
impatient,2,0,1,1,0,0,0,0,1
klaus,0,0,0,0,0,0,0,0,0
stoked,0,0,0,0,0,0,0,0,0
headmaster,0,0,0,0,0,0,0,0,0
jon,0,0,0,0,0,0,0,0,0
drinkware,1,2,1,2,0,0,0,0,2
shooter,0,0,0,0,0,0,0,0,0
kelley,0,0,0,0,0,0,0,0,0
panam,0,0,0,0,0,0,0,0,0
wjem,0,0,0,0,0,0,0,0,0
padlock,0,0,0,0,0,0,0,0,0
henna,0,0,0,0,0,0,0,0,0
oasis,0,0,0,1,0,0,1,0,0
gp,0,0,0,0,0,0,0,0,0
splits,0,2,0,0,0,0,0,0,0
proactive,0,0,0,0,0,0,0,0,0
beetlejuice,0,0,0,0,0,0,0,0,0
trouper,0,0,0,0,0,0,0,0,0
plane,0,0,0,0,0,0,0,0,0
monstrous,2,3,1,2,0,0,0,2,0
dsitrust,3,2,1,2,0,0,0,0,0
cleverly,0,0,0,0,0,0,0,0,0
fortuitous,0,0,0,0,0,0,0,0,0
firedrill,0,0,0,0,0,0,0,0,0
publically,1,1,0,0,0,0,0,2,0
tun,0,0,0,0,0,0,0,0,0
jupsuit,0,0,0,0,0,0,0,0,0
seashells,0,0,0,0,0,0,0,0,0
marshall,0,0,0,0,0,0,0,0,0
sustenece,2,3,1,2,1,2,0,0,0
saver,0,0,0,0,0,0,0,0,0
cookies,0,0,0,0,0,3,0,0,0
hull,0,2,0,2,0,0,2,0,1
capricorn,0,0,0,0,0,0,0,0,0
musty,0,1,0,0,0,0,0,1,0
channels,0,2,0,2,0,0,0,2,0
tandem,1,1,0,1,0,0,0,0,0
tambourine,0,0,0,0,0,0,0,1,0
tablecloth,2,1,0,2,2,2,0,0,2
oiler,0,0,0,0,0,0,0,0,0
offout,0,0,0,0,0,0,0,0,0
alligaor,0,1,0,1,0,0,0,0,0
bode,1,1,0,1,0,0,0,0,0
overarching,1,1,0,1,1,0,0,0,0
being,2,0,2,0,1,0,0,0,0
kenya,0,0,0,0,0,0,0,0,0
promotions,0,0,0,0,0,0,0,0,0
propel,0,1,0,0,0,0,0,0,0
charger,0,0,0,0,0,0,0,0,0
offered,0,0,0,0,0,0,0,0,0
sampoo,0,0,0,0,0,4,0,0,0
mimosa,0,0,0,0,0,0,0,1,0
]apan,0,0,0,0,0,0,0,0,0
lima,0,0,0,0,0,0,0,0,0
premium,0,0,0,0,0,0,0,0,0
whoknow,2,0,0,2,0,0,0,2,0
alibis,2,3,0,2,0,0,0,1,0
pushing,2,0,1,1,0,0,0,0,0
chaps,0,0,0,0,0,0,0,0,0
woo,0,0,2,0,0,0,0,0,2
lumbar,0,0,2,0,0,0,0,0,0
insurancepolicy,0,0,0,0,0,0,0,0,0
nevertheless,0,0,0,0,0,0,0,0,0
impanel,0,0,0,0,0,0,0,2,0
demean,2,0,0,1,0,0,0,0,0
guru,0,0,0,0,0,0,0,0,0
slingshot,0,0,0,0,0,0,0,0,0
fai;led,2,3,0,2,0,0,0,0,0
panda,0,0,0,0,0,0,0,0,0
component,0,1,0,0,0,0,0,0,0
silly,0,0,0,0,0,0,0,0,0
medallion,0,0,0,0,0,0,0,0,0
zoozebraxylephone,0,0,0,0,0,0,0,0,0
pee;,0,0,0,0,0,0,0,0,0
hunted,1,2,1,1,1,1,3,2,1
oppressor,3,2,3,3,1,1,0,1,3
hardship,0,1,1,1,1,0,1,1,0
tattered,0,0,0,0,0,0,0,0,0
lol,0,0,0,0,0,0,0,0,0
wenty,0,0,0,0,0,0,0,0,0
acron,0,0,0,0,0,0,0,0,0
maleviolence,3,4,2,3,0,1,1,2,3
volcanio,0,0,0,0,0,0,0,0,0
sag,0,0,0,0,0,0,0,0,0
are,0,0,0,0,0,0,0,0,0
nightstand,0,0,0,0,0,0,0,0,0
door bag,0,0,0,0,0,0,0,0,0
cereal,0,0,2,0,2,2,0,0,0
flickering,0,2,0,0,0,0,0,0,0
megabits,0,0,0,0,0,0,0,0,0
guinea pig,0,0,0,0,0,0,0,0,0
peer,1,2,0,0,0,0,0,1,0
agony,3,2,2,3,2,0,1,2,2
dorset,0,0,0,0,0,0,0,0,0
greens,0,0,0,1,0,0,1,0,0
rollup,0,3,0,0,0,0,0,0,0
antidepressant,0,0,0,0,0,0,0,0,0
cerebral,0,0,0,0,0,0,0,0,0
nausal,0,0,0,2,1,0,0,1,0
clad,0,3,0,1,0,1,0,0,0
absurd,2,1,0,1,0,0,1,0,0
non fiction,0,0,0,0,0,0,0,0,0
serf,0,0,0,0,0,0,0,0,0
schadenfreude,0,0,0,0,0,0,0,2,0
gooogle,0,0,0,0,0,0,0,0,0
weird,2,1,0,2,0,0,2,0,0
astonished,0,2,0,0,0,0,0,2,0
predetermined,0,0,0,0,0,0,0,0,0
brittany,0,0,0,0,0,0,0,0,0
krien,0,0,0,0,0,0,0,0,0
werewolves,0,0,0,0,0,0,0,0,0
swap,0,0,0,0,0,0,0,0,0
rochester,0,0,0,0,0,0,0,0,0
bro,1,2,0,0,0,0,0,0,0
genres,0,0,0,0,0,0,0,0,0
enlist,0,0,0,0,0,0,0,0,0
hermione,0,0,0,0,0,0,0,0,0
deemed,0,1,0,0,0,0,0,0,0
cologne,0,0,0,0,0,0,0,0,0
mo,0,0,0,0,0,0,0,0,0
turpentine,0,0,0,0,0,0,0,0,0
strutter,0,0,0,0,0,0,0,0,0
quarrel,4,2,2,2,1,0,0,0,0
clou,0,0,0,0,0,0,0,0,0
venofer,0,0,0,0,0,0,0,0,0
frosted,0,0,0,0,0,0,0,0,0
seatle,0,0,0,0,0,0,0,0,0
sallow,0,0,0,0,0,0,0,0,0
vee,0,0,0,0,0,0,0,0,0
termite,0,0,0,0,0,0,0,0,0
top,0,0,0,2,0,0,0,0,0
clause,0,0,0,0,0,0,0,0,0
nasa,0,0,0,0,0,0,0,0,0
cocoa,0,0,0,0,0,0,0,0,0
mao,0,0,0,0,0,0,0,0,0
cliques,2,3,0,0,0,0,0,0,0
exhile,0,0,0,0,0,0,0,0,0
attain,0,0,0,0,0,0,0,0,0
pension,0,0,0,0,0,0,0,0,0
lemmings,1,3,0,0,0,0,0,0,0
very,0,0,0,0,0,0,0,0,0
shining,0,2,0,2,0,0,0,2,0
taught,0,0,0,0,0,0,0,0,0
bananas,0,0,0,0,0,0,0,0,0
toon,0,0,0,0,0,0,0,0,0
fizzy,1,0,1,2,0,0,0,0,0
?,0,0,0,0,0,0,0,0,0
tireswing,0,0,0,0,0,0,0,0,0
desirous,0,0,3,1,0,0,0,0,3
treetops,0,3,0,1,0,0,1,0,0
sarape,0,0,0,0,0,0,0,0,0
embryology,0,0,0,0,0,0,0,0,0
phrasing,0,0,0,0,0,0,0,0,0
use,0,0,0,0,0,0,0,0,0
caldera,0,0,0,0,0,0,0,0,0
liens,0,0,0,0,0,0,0,0,0
alright,0,0,0,0,0,1,0,0,0
generator,0,0,0,0,0,0,0,0,0
chronic,0,0,0,0,0,0,0,0,0
pier,0,0,0,0,0,0,0,0,0
tincture,0,0,0,0,0,0,0,0,0
coldbody,2,4,2,3,3,2,0,3,0
robotics,0,0,0,0,0,0,0,0,0
engines,1,1,1,1,0,0,2,0,0
hit,0,2,0,2,0,0,0,2,0
sockx,0,0,0,0,0,0,0,0,0
trillium,0,1,0,1,0,0,1,0,0
juvenile,0,1,0,0,1,1,0,3,0
indiana,0,0,0,0,0,0,0,0,0
checkout,0,0,0,0,0,0,0,0,0
snowcrabs,0,0,0,0,0,0,0,0,0
together,0,3,0,2,0,0,0,0,0
dog bed,0,0,0,0,0,0,0,0,0
pagan,0,0,0,0,0,0,0,0,0
zones,0,0,0,0,0,0,0,0,0
bask,0,1,0,2,0,0,0,0,0
birch,0,1,0,1,0,0,1,0,0
bobbyu,0,0,0,0,0,0,0,0,0
youtuber,0,0,0,0,0,0,0,0,0
builders,0,2,0,0,0,0,0,0,0
snorlax,0,0,0,0,0,0,0,0,0
ski,0,0,0,0,0,0,0,0,0
goned,0,0,0,0,0,0,0,0,0
stale,0,0,0,0,0,0,0,0,0
emission,0,0,0,0,0,0,0,0,0
rainbos,0,0,0,0,0,0,0,0,0
cheeseburger,1,1,1,0,0,0,0,0,0
scarpe,0,1,0,0,0,0,0,0,0
tractors,0,0,0,0,0,0,2,0,0
weam,0,0,0,0,0,0,0,0,0
indigenous,0,0,0,0,0,0,0,0,0
canes,0,0,0,0,0,0,0,0,0
stereotype,2,3,0,1,0,0,0,0,0
entirety,0,0,0,0,0,0,0,0,0
garbanzo,0,1,1,0,0,0,0,0,0
nape,0,1,0,3,2,0,0,0,0
league,0,2,0,0,0,0,0,0,0
unilever,0,0,0,0,0,0,0,0,0
ackee,0,0,0,0,0,0,0,0,0
fruts,0,0,0,0,0,0,0,0,0
onceflowerletter,0,0,0,0,0,0,0,0,0
grandeur,0,0,0,0,0,0,0,0,0
privilage,0,0,0,0,0,0,0,0,0
cryogenic,0,0,0,0,0,0,0,0,0
slid,0,0,0,0,1,0,0,0,0
tech,0,0,0,0,0,0,0,0,0
terrorism,0,0,0,0,0,0,0,0,0
boiling,1,0,0,1,0,0,0,0,0
chad,0,0,0,0,0,0,0,0,0
